Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,2,0.01,0.01,0.27730166862224764,-12.721044167623766
75% Corpus,2,0.01,0.31,0.2769371695934487,-8.24822559306677
75% Corpus,2,0.01,0.61,0.276533548049801,-8.279186967066046
75% Corpus,2,0.01,0.9099999999999999,0.27697633275926614,-8.308468011361407
75% Corpus,2,0.01,symmetric,0.276533548049801,-8.266184816380331
75% Corpus,2,0.31,0.01,0.2773016686222477,-11.678609074420866
75% Corpus,2,0.31,0.31,0.2769371695934487,-8.246232920606388
75% Corpus,2,0.31,0.61,0.276533548049801,-8.274223296271128
75% Corpus,2,0.31,0.9099999999999999,0.27697633275926614,-8.306912608315011
75% Corpus,2,0.31,symmetric,0.276533548049801,-8.262838694186826
75% Corpus,2,0.61,0.01,0.276533548049801,-12.329406126753604
75% Corpus,2,0.61,0.31,0.2769371695934487,-8.248398517181638
75% Corpus,2,0.61,0.61,0.276533548049801,-8.275544931252647
75% Corpus,2,0.61,0.9099999999999999,0.27693327424340086,-8.307976926490303
75% Corpus,2,0.61,symmetric,0.2769371695934487,-8.264005797954015
75% Corpus,2,0.9099999999999999,0.01,0.27653354804980107,-12.669292412647309
75% Corpus,2,0.9099999999999999,0.31,0.2769371695934487,-8.248226531293925
75% Corpus,2,0.9099999999999999,0.61,0.2769371695934487,-8.27712855181721
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.27693327424340086,-8.30918065515059
75% Corpus,2,0.9099999999999999,symmetric,0.276533548049801,-8.271134078090606
75% Corpus,2,symmetric,0.01,0.2773016686222477,-11.659789147009928
75% Corpus,2,symmetric,0.31,0.2769371695934487,-8.248702607820382
75% Corpus,2,symmetric,0.61,0.276533548049801,-8.27491072625439
75% Corpus,2,symmetric,0.9099999999999999,0.276933274243401,-8.307722953146659
75% Corpus,2,symmetric,symmetric,0.2769371695934487,-8.263691158650115
75% Corpus,2,asymmetric,0.01,0.27730166862224764,-12.34906507491151
75% Corpus,2,asymmetric,0.31,0.2769371695934487,-8.247332663241327
75% Corpus,2,asymmetric,0.61,0.2769763327592662,-8.274914944455148
75% Corpus,2,asymmetric,0.9099999999999999,0.27593038291196126,-8.30220382827317
75% Corpus,2,asymmetric,symmetric,0.276533548049801,-8.263942711557979
75% Corpus,3,0.01,0.01,0.2734298833061484,-12.038477284100212
75% Corpus,3,0.01,0.31,0.2751235356167909,-8.245326746794966
75% Corpus,3,0.01,0.61,0.2658247112693041,-8.27866413563595
75% Corpus,3,0.01,0.9099999999999999,0.28717793380556617,-8.309495086716645
75% Corpus,3,0.01,symmetric,0.27512353561679087,-8.248578438290478
75% Corpus,3,0.31,0.01,0.2736728826586811,-11.659590440385076
75% Corpus,3,0.31,0.31,0.2725916445279369,-8.2476470607046
75% Corpus,3,0.31,0.61,0.2658247112693042,-8.282235025698615
75% Corpus,3,0.31,0.9099999999999999,0.2871779338055662,-8.312966691521678
75% Corpus,3,0.31,symmetric,0.2740162725093821,-8.250207024951406
75% Corpus,3,0.61,0.01,0.2736728826586811,-11.657569252838021
75% Corpus,3,0.61,0.31,0.27421557089840337,-8.251601542539495
75% Corpus,3,0.61,0.61,0.2608506802641046,-8.305044716703566
75% Corpus,3,0.61,0.9099999999999999,0.27422450805260223,-8.31864499799183
75% Corpus,3,0.61,symmetric,0.2723131967795673,-8.255210496801535
75% Corpus,3,0.9099999999999999,0.01,0.27440294968974677,-11.66407762225906
75% Corpus,3,0.9099999999999999,0.31,0.2735865327226101,-8.256523648008297
75% Corpus,3,0.9099999999999999,0.61,0.26966241535246616,-8.291239294589756
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.26400603420396623,-8.323982132827155
75% Corpus,3,0.9099999999999999,symmetric,0.2735865327226101,-8.259056466916702
75% Corpus,3,symmetric,0.01,0.27367288265868106,-11.653670379901977
75% Corpus,3,symmetric,0.31,0.27259164452793694,-8.24811650582454
75% Corpus,3,symmetric,0.61,0.26429345179032354,-8.281288748039453
75% Corpus,3,symmetric,0.9099999999999999,0.28717793380556617,-8.313323024582532
75% Corpus,3,symmetric,symmetric,0.2723225634988385,-8.249673986384305
75% Corpus,3,asymmetric,0.01,0.273672882658681,-11.653942318789097
75% Corpus,3,asymmetric,0.31,0.2716067504708,-8.244950181413994
75% Corpus,3,asymmetric,0.61,0.2637390820997654,-8.277848528317353
75% Corpus,3,asymmetric,0.9099999999999999,0.2815458376991348,-8.310833299819386
75% Corpus,3,asymmetric,symmetric,0.27359313495570914,-8.247050199559729
75% Corpus,4,0.01,0.01,0.2699050891041809,-11.6888073571019
75% Corpus,4,0.01,0.31,0.27098028091226395,-8.243125276728874
75% Corpus,4,0.01,0.61,0.2613733540771178,-8.280789233143084
75% Corpus,4,0.01,0.9099999999999999,0.31109676422871435,-8.311732442856785
75% Corpus,4,0.01,symmetric,0.2713599179577405,-8.241498574645215
75% Corpus,4,0.31,0.01,0.2708091276156689,-11.664410328471993
75% Corpus,4,0.31,0.31,0.26807302019023427,-8.253691970698165
75% Corpus,4,0.31,0.61,0.25744863132084933,-8.289694933644359
75% Corpus,4,0.31,0.9099999999999999,0.30066063808971943,-8.322904763558666
75% Corpus,4,0.31,symmetric,0.2682728832870342,-8.242209184780945
75% Corpus,4,0.61,0.01,0.2711512478209271,-11.687779356870072
75% Corpus,4,0.61,0.31,0.27095722595014815,-8.25906546157557
75% Corpus,4,0.61,0.61,0.2555862199817919,-8.297379948607995
75% Corpus,4,0.61,0.9099999999999999,0.29501330475524157,-8.329417205633526
75% Corpus,4,0.61,symmetric,0.2720279461434517,-8.250098826447982
75% Corpus,4,0.9099999999999999,0.01,0.2711512478209271,-11.692679414649081
75% Corpus,4,0.9099999999999999,0.31,0.27052530370582867,-8.278350173862922
75% Corpus,4,0.9099999999999999,0.61,0.25613787513337616,-8.30872206503518
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.27725674208193385,-8.34091766862549
75% Corpus,4,0.9099999999999999,symmetric,0.2709125839774193,-8.256492977531693
75% Corpus,4,symmetric,0.01,0.27025103613386026,-12.018750178565579
75% Corpus,4,symmetric,0.31,0.2702892104090021,-8.248019650468338
75% Corpus,4,symmetric,0.61,0.25849467868190723,-8.285753861906219
75% Corpus,4,symmetric,0.9099999999999999,0.29350769528920323,-8.318526518138196
75% Corpus,4,symmetric,symmetric,0.2702892104090021,-8.24054614130347
75% Corpus,4,asymmetric,0.01,0.2685623272572575,-11.67516207112818
75% Corpus,4,asymmetric,0.31,0.2657505283874989,-8.240423393568069
75% Corpus,4,asymmetric,0.61,0.2691227728610862,-8.279564633638191
75% Corpus,4,asymmetric,0.9099999999999999,0.3243595247154874,-8.309137238267969
75% Corpus,4,asymmetric,symmetric,0.2709212843865231,-8.233329617543987
75% Corpus,5,0.01,0.01,0.27027965106248636,-12.036143541931887
75% Corpus,5,0.01,0.31,0.2641643650635191,-8.239347239065893
75% Corpus,5,0.01,0.61,0.2797067993131082,-8.278187551622215
75% Corpus,5,0.01,0.9099999999999999,0.35550725942770184,-8.307729444249876
75% Corpus,5,0.01,symmetric,0.2637489563221417,-8.221618705955757
75% Corpus,5,0.31,0.01,0.26943308524369425,-11.662484592702295
75% Corpus,5,0.31,0.31,0.26415618893148063,-8.247832265363604
75% Corpus,5,0.31,0.61,0.28704407403881604,-8.291109207049493
75% Corpus,5,0.31,0.9099999999999999,0.36181761000277984,-8.320158109055704
75% Corpus,5,0.31,symmetric,0.2673385865302525,-8.232341948914998
75% Corpus,5,0.61,0.01,0.2687295314411294,-11.679216951117896
75% Corpus,5,0.61,0.31,0.26439640486774774,-8.260636824121395
75% Corpus,5,0.61,0.61,0.269792179235837,-8.303461313696921
75% Corpus,5,0.61,0.9099999999999999,0.348164779105311,-8.345711214177419
75% Corpus,5,0.61,symmetric,0.26671199939758344,-8.25778775821656
75% Corpus,5,0.9099999999999999,0.01,0.2695213810718968,-12.0519137436544
75% Corpus,5,0.9099999999999999,0.31,0.2695264800609872,-8.270032825604103
75% Corpus,5,0.9099999999999999,0.61,0.26436590612878164,-8.315568697531901
